ResourceName	HP	ATK	DEF	COLLISION	ATTACKABLE	CONSUMABLE	TAKABLE	ID	NAME		MYSTERY	READSYMBOL	DISPLAYSYMBOL	HOSTILITY	MOVEABLE	GOLD 	Probability
RH				10	0	0	1			0			1			0		1	RH			1		0			P				1			1			0		1
BA				0	5	0	1			0			1			0		2	BA			1		1			P				1			1			0		1
BD				0	0	5	1			0			1			0		3	BD			1		2			P				1			1			0		1
PH				-10 0	0	1			0			1			0		4	PH			1		3			P				1			1			0		1
WA				0	-5	0	1			0			1			0		5	WA			1		4			P				1			1			0		1
WD				0	0	-5	1			0			1			0		6	WD			1		5			P				1			1			0		1
normalPile		0	0	0	0			0			0			1		7	Gold		0		6			G				1			1			1		5		
smallHorde		0	0	0	0			0			0			1		8	Gold		0		7			G				1			1			2		2
merchantHorde	0	0	0	0			0			0			1		9	Gold		0		8			G				1			1			4		0
dragonHorde		0	0	0	1			0			0			1		10	Gold		0		9			G				1			1			6		1
